Tail_Number,AVG(TaxiIn)
N913DE,6.6829
N361NW,6.9242
N317NB,7.3279
N992DL,6.7877
N355NW,7.2243
N985DL,6.7204
N935DL,6.7285
N916DE,6.6988
N982DL,6.6928
N586NW,8.1162
N906DE,6.7636
N351NW,7.1553
N961DN,6.3998
N555NW,7.7440
N901DA,6.4625
N363NW,7.0292
N318US,6.4297
N680DA,7.6293
N962DL,6.7015
N603AT,7.2060
N998DL,6.8599
N752AT,8.0468
N893AT,7.4705
N357NW,7.1275
N905DL,6.7037
N6705Y,7.5426
N683DA,7.5029
N908DE,6.6830
N905DA,6.4339
N353NB,7.3016
N540US,7.8308
N972DL,6.8395
N991DL,6.6889
N991AT,7.0714
N684DA,7.5323
N909DA,6.4103
N909DL,8.7641
N1613B,8.5000
N805DN,7.2490
